name,school,subscribe_num,endTime,startTime,teachers,courseURL
西方音乐史(上),中央音乐学院,3778,2020-12-20 23:30:00,2020-09-22 10:00:00,潘澜,https://www.icourse163.org/course/CCOM-1002604008
中国古代音乐史,中央音乐学院,1986,2020-12-20 23:30:00,2020-09-22 10:00:00,陈荃有,https://www.icourse163.org/course/CCOM-1002597010
学校音乐教育新体系——小学音乐课程示范教学,中央音乐学院,1572,2020-12-20 23:30:00,2020-09-22 10:00:00,林松涛,https://www.icourse163.org/course/CCOM-1002598013
西方音乐史(下),中央音乐学院,1926,2020-12-20 23:30:00,2020-09-22 10:00:00,潘澜,https://www.icourse163.org/course/CCOM-1002597009
从零开始学钢琴,中央音乐学院,3942,2020-12-20 23:30:00,2020-09-22 10:00:00,童薇,https://www.icourse163.org/course/CCOM-1003673002
音乐奥秘解码——轻松学乐理,中央音乐学院,6751,2020-12-20 23:30:00,2020-09-22 10:00:00,修子健,https://www.icourse163.org/course/CCOM-1003681001
世界民族音乐—跟着音乐去旅行,中央音乐学院,1506,2020-12-20 23:30:00,2020-09-22 10:00:00,修子健,https://www.icourse163.org/course/CCOM-1207541808
室内乐趣,山东大学,431,2020-11-30 21:00:00,2020-09-21 10:00:00,董乐晨,https://www.icourse163.org/course/SDU-1449519162
大家弹起来——钢琴即兴伴奏入门,中央音乐学院,2947,2020-12-20 23:30:00,2020-09-22 10:00:00,徐之彤,https://www.icourse163.org/course/CCOM-1003676002
拨动心弦——古典吉他启蒙,中央音乐学院,2734,2020-12-20 23:30:00,2020-09-22 10:00:00,郦嘉炯,https://www.icourse163.org/course/CCOM-1003680001
拿谱就唱—视唱练耳轻松学,中央音乐学院,3723,2020-12-20 23:30:00,2020-09-22 10:00:00,雅乌塔罗,https://www.icourse163.org/course/CCOM-1207553805
声乐专家讲堂,中央音乐学院,2734,2020-12-20 23:30:00,2020-09-22 10:00:00,王传越,https://www.icourse163.org/course/CCOM-1207538808
中国少数民族歌曲欣赏与学唱,中央民族大学,414,2020-12-31 23:30:00,2020-09-21 10:00:00,安鲁新,https://www.icourse163.org/course/MUC-1450105166
生活中的自制乐器与演奏,华中师范大学,893,2020-12-15 23:30:00,2020-09-15 10:00:00,赵洪啸,https://www.icourse163.org/course/CCNU-1002600009
钢琴教学实用指南,温州大学,1289,2021-01-24 23:00:00,2020-09-21 10:00:00,王晓佳,https://www.icourse163.org/course/WZU-1206391802
钢琴演奏基础,四川音乐学院,2992,2020-12-31 23:30:00,2020-09-21 10:00:00,徐懿,https://www.icourse163.org/course/SCCM-1205720803
民族声乐进阶密码——石春轩子教学示范课堂,华东师范大学,35,2021-01-24 23:00:00,2020-11-23 10:00:00,石春轩子,https://www.icourse163.org/course/ECNU-1001609001
聆听音乐的钥匙,北京航空航天大学,581,2020-12-30 23:30:00,2020-09-16 10:00:00,苏丹娜,https://www.icourse163.org/course/BUAA-1207376805
中小学音乐创意大课堂,华中师范大学,1542,2020-12-18 23:30:00,2020-09-18 10:00:00,赵洪啸,https://www.icourse163.org/course/CCNU-1207250802
玩转流行音乐——多种音乐风格轻松学,天津体育学院运动与文化艺术学院,2053,2021-01-15 23:30:00,2020-09-18 10:00:00,郭鹏,https://www.icourse163.org/course/TJYYWH-1206680839
声乐演唱基础,湖南师范大学,4954,2020-11-30 23:30:00,2020-09-10 10:00:00,陈刚,https://www.icourse163.org/course/HUNNU-1003382001
乐中八仙—多姿多彩的中国民族器乐,山东大学,1734,2020-11-10 23:30:00,2020-09-08 10:00:00,刘迎新,https://www.icourse163.org/course/SDU-1449521163
